English Name (BirdLife > IOC > Clements>AviList),Latin (BirdLife > IOC > Clements>AviList),HBW/BirdLife International (v9.1),IOC World Bird List (v15.1),eBird/Clements (V2024b),AviList v1 2025,Order,Family IOC 15.1,Family Clements v2024b,Family HBW/BirdLife v9.1 (2024),Family AviList v1 2025,Genus,Species,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimson Topaz,Topaza pella,Topaza pella,Topaza pella,Topaza pella,Topaza pella,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Topaza,pella,9,12.5,11,18,,,12.62,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiery Topaz,Topaza pyra,Topaza pyra,Topaza pyra,Topaza pyra,Topaza pyra,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Topaza,pyra,10.199999999999999,12,12,17,,,12.80,,0,400,400,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-necked Jacobin,Florisuga mellivora,Florisuga mellivora,Florisuga mellivora,Florisuga mellivora,Florisuga mellivora,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Florisuga,mellivora,6,9.1999999999999993,7.4000000000000004,9,7,7.4000000000000004,7.67,,0,900,900,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Jacobin,Florisuga fusca,Florisuga fusca,Florisuga fusca,Florisuga fusca,Florisuga fusca,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Florisuga,fusca,7,,9,,,,8.00,,0,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-tipped Sicklebill,Eutoxeres aquila,Eutoxeres aquila,Eutoxeres aquila,Eutoxeres aquila,Eutoxeres aquila,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eutoxeres,aquila,,,11,,8.5999999999999996,14.5,11.37,,0,2100,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff-tailed Sicklebill,Eutoxeres condamini,Eutoxeres condamini,Eutoxeres condamini,Eutoxeres condamini,Eutoxeres condamini,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eutoxeres,condamini,8,10,10,12.5,9.4000000000000004,,9.98,,180,3120,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saw-billed Hermit,Ramphodon naevius,Ramphodon naevius,Ramphodon naevius,Ramphodon naevius,Ramphodon naevius,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Ramphodon,naevius,,,,,5.2999999999999998,9,7.15,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hook-billed Hermit,Glaucis dohrnii,Glaucis dohrnii,Glaucis dohrnii,Glaucis dohrnii,Glaucis dohrnii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Glaucis,dohrnii,5.5,7,6,9,5.7999999999999998,,6.66,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzy Hermit,Glaucis aeneus,Glaucis aeneus,Glaucis aeneus,Glaucis aeneus,Glaucis aeneus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Glaucis,aeneus,3,6,3,6.5,4,5.4000000000000004,4.65,,0,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous-breasted Hermit,Glaucis hirsutus,Glaucis hirsutus,Glaucis hirsutus,Glaucis hirsutus,Glaucis hirsutus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Glaucis,hirsutus,5.5,8.5,5,8.1999999999999993,5,7,6.53,,0,1000,1000,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band-tailed Barbthroat,Threnetes ruckeri,Threnetes ruckeri,Threnetes ruckeri,Threnetes ruckeri,Threnetes ruckeri,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Threnetes,ruckeri,5,7,5.5,7,4.5,7,6.00,,0,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pale-tailed Barbthroat,Threnetes leucurus,Threnetes leucurus,Threnetes leucurus,Threnetes leucurus,Threnetes leucurus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Threnetes,leucurus,4,6.5,4,7,5.5999999999999996,,5.42,,0,1200,1200,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sooty Barbthroat,Threnetes niger,Threnetes niger,Threnetes niger,Threnetes niger,Threnetes niger,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Threnetes,niger,,,,,5.5,6.0999999999999996,5.80,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broad-tipped Hermit,Anopetia gounellei,Anopetia gounellei,Anopetia gounellei,Anopetia gounellei,Anopetia gounellei,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Anopetia,gounellei,,,3,3,2.6000000000000001,3.3999999999999999,3.00,0,40,1150,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusky-throated Hermit,Phaethornis squalidus,Phaethornis squalidus,Phaethornis squalidus,Phaethornis squalidus,Phaethornis squalidus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,squalidus,,,,,2.5,3.5,3.00,,0,2250,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streak-throated Hermit,Phaethornis rupurumii,Phaethornis rupurumii,Phaethornis rupurumii,Phaethornis rupurumii,Phaethornis rupurumii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,rupurumii,,,,,2.5,3.7000000000000002,3.10,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Hermit,Phaethornis longuemareus,Phaethornis longuemareus,Phaethornis longuemareus,Phaethornis longuemareus,Phaethornis longuemareus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,longuemareus,3,,3,3.5,2.5,4.5,3.30,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapajos Hermit,Phaethornis aethopygus,Phaethornis aethopygus,Phaethornis aethopygus,Phaethornis aethopygus,Phaethornis aethopygus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,aethopygus,,,,,3,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minute Hermit,Phaethornis idaliae,Phaethornis idaliae,Phaethornis idaliae,Phaethornis idaliae,Phaethornis idaliae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,idaliae,,,,,1.8,2.7000000000000002,2.25,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon-throated Hermit,Phaethornis nattereri,Phaethornis nattereri,Phaethornis nattereri,Phaethornis nattereri,Phaethornis nattereri,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,nattereri,,,,,2.5,3.1000000000000001,2.80,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-throated Hermit,Phaethornis atrimentalis,Phaethornis atrimentalis,Phaethornis atrimentalis,Phaethornis atrimentalis,Phaethornis atrimentalis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,atrimentalis,,,,,2.6000000000000001,3,2.80,,0,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stripe-throated Hermit,Phaethornis striigularis,Phaethornis striigularis,Phaethornis striigularis,Phaethornis striigularis,Phaethornis striigularis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,striigularis,2,3.2000000000000002,2,3,3,,2.64,,0,1500,1500,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
